id,rink_no,rink_name,first_name,last_name,phone
1,1,Wright,Jeff,Wright,9482190421
2,1,Wright,Kelly,Taylor,5356847855
3,1,Wright,Ray,Balachorek,5533781553
4,1,Wright,Bob,Hedstrom,3144880338
5,2,Moore,Mike,Moore,7954240383
6,2,Moore,Chuck,Severson,8319816719
7,2,Moore,Peter,Muller,6807376373
8,2,Moore,Scott,Kania,3243206250
9,3,Apel,Chris,Apel,3286824878
10,3,Apel,Terry,Bushell,6664714442
11,3,Apel,Ron,Wagner,9095270840
12,3,Apel,Shane,Latimer,7242638359
13,4,May,James,May,7186726967
14,4,May,Gary,Lindsey,3843694309
15,4,May,Neil,Freund,8486410238
16,4,May,Nick,McLellan,8823348944
17,5,Franks,Beaner,Franks,6435122301
18,5,Franks,Michael,Grudzinski,6836924128
19,5,Franks,David,Lancour,9032909255
20,5,Franks,Steve,Bergman,2029127890
21,6,Baylon,Stephen,Baylon,7368480216
22,6,Baylon,Russ,Brown,8547293113
23,6,Baylon,Josh,Bobinski,4494001169
24,6,Baylon,Terry,Walsh,9404113910
25,7,Roberts,Jacob,Roberts,3722321927
26,7,Roberts,Doug,Anderson,5434776805
27,7,Roberts,Todd,Flemming,9968312780
28,7,Roberts,Eric,Garvin,5755801048
29,8,Eigner,Greg,Eigner,5355592168
30,8,Eigner,Brian,Lawless,3432881355
31,8,Eigner,Elliot,Gronland,8667699725
32,8,Eigner,Patrick,Geiger,9665268605
33,9,Waters,Steve,Waters,6215975670
34,9,Waters,Brian,Smith,9643704103
35,9,Waters,Mike,Cicci,3848567948
36,9,Waters,Jake,Farbelow,9285499288
37,10,Wesler,Jordan,Wesler,4043240495
38,10,Wesler,Mike,Kraus,7849210340
39,10,Wesler,Scott,Masloroff,3117352052
40,10,Wesler,John,Knetzger,6622300624
41,11,Straub,Barrett,Straub,4982942747
42,11,Straub,Jeremy,Bushell,8258264798
43,11,Straub,John,Brandsma,8566600042
44,11,Straub,Henry,Cheng,4212924196
45,12,Weida,Matt,Weida,4324031327
46,12,Weida,Matt,Goelzer,8472592778
47,12,Weida,Mike,Trotta,6079687766
48,12,Weida,Peter,Nichols,5848201398
49,13,Koch,Nick,Koch,3452070092
50,13,Koch,Johnny,Nosepicker,3232001465
51,13,Koch,Steve,Hogan,5527330762
52,13,Koch,Lloyd,Yanis,9245974642
53,14,Conley,Chris,Conley,5894278776
54,14,Conley,Ken,Brown,2656068407
55,14,Conley,Phil,Hanson,3167382227
56,14,Conley,Mike,Mueller,6609495037
57,15,Hovre,Tim,Hovre,2293682320
58,15,Hovre,Matt,Weiss,5545725962
59,15,Hovre,Craig,Heinze,2632140518
60,15,Hovre,Tony,Jacobson,9173271272
61,16,Telfer,Scott,Telfer,7358809505
62,16,Telfer,Walter,Burns,5058578403
63,16,Telfer,Jason,Platek,9015992366
64,16,Telfer,Mike,Czachor,2067624531
65,17,Wright,Steve,Wright,9243706009
66,17,Wright,Richard,Wood,3239523932
67,17,Wright,Ray,Sanford,8186035268
68,17,Wright,Brian,Unbehaum,3099552398
69,18,Glass,Chris,Glass,7422081392
70,18,Glass,Mike,Kyrios,9115090922
71,18,Glass,Mark,Conrardy,2284780036
72,18,Glass,Shawn,Slane,5889715211
73,19,Johannes,Dan,Johannes,8766310425
74,19,Johannes,Brad,Bushell,2422904141
75,19,Johannes,John,Schultz,8208332181
76,19,Johannes,Matt,Montalbano,6776289631
77,20,Sobeck,Jeremy,Sobeck,5678287316
78,20,Sobeck,Chris,Schallmo,5173822743
79,20,Sobeck,Matt,Schmidt,2634488064
80,20,Sobeck,Jim,McCabe,9937146931
81,21,Axelson,Staffan,Axelson,9583659793
82,21,Axelson,Jay,Clark,6355797627
83,21,Axelson,Mike,Schuder,2768257297
84,21,Axelson,Larry,Berlin,4423916266
85,22,Berens,Tyler,Berens,7253341206
86,22,Berens,Matthew,Brown,4695995909
87,22,Berens,Ryan,Lipka,2578459311
88,22,Berens,Fred,Blizzard,5523608073
89,23,Swanson,Scott,Swanson,3926782932
90,23,Swanson,Tyler,Townsend,5985814374
91,23,Swanson,Ethan,Heinze,8718518418
92,23,Swanson,Kevin,Castro,7108563938
93,24,Eigner,Chris,Eigner,3688267499
94,24,Eigner,Steve,Goldman,7434913316
95,24,Eigner,Vias,Karaouzas,4487003679
96,24,Eigner,Bernie,Anding,4329919108
97,25,Boyle,Robo,Boyle,8473368916
